bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
5481,Dizy,VD,235,0.02381,4,2024-09-30,0,,2024-10-21,0.096992,416,2024-08-06,0.30303,20,46,49,0.991379,2024-01-22,5.1392,2.2574,1218,535,2023-09-01,2024-08-31,1.2869,305,0,305,0,0,0,2023-10-01,2024-09-30
5482,Eclépens,VD,226,0.035238,37,2024-09-30,16,2.3,2024-10-21,0.125886,3001,2024-09-09,0.697211,175,76,216,0.856881,2024-03-20,37.2362,1.8053,44326,2149,2023-09-01,2024-08-31,1.8599,2214,0,2214,0,0,0,2023-10-01,2024-09-30
5483,Ferreyres,VD,236,0.057895,11,2024-09-30,0,,2024-10-21,0.048123,232,2024-09-09,0.49,49,51,77,0.972527,2024-06-19,3.663,2.6773,1126,823,2023-09-01,2024-08-31,0.6051,186,0,186,0,0,0,2023-10-01,2024-09-30
5484,Gollion,VD,237,0.059889,43,2024-09-30,0,,2024-10-21,0.09886,954,2024-09-09,0.297436,58,137,144,0.976945,2024-10-15,4.1206,2.3841,4428,2562,2023-09-01,2024-08-31,4.0452,4347,72,749,0,3527,0,2023-10-01,2024-09-30
5485,Grancy,VD,236,0.031915,12,2024-09-30,0,,2024-10-21,0.08055,504,2024-09-09,0.290598,34,83,72,0.964286,2024-06-19,3.5709,2.1119,1909,1129,2023-09-01,2024-08-31,0.9633,515,120,395,0,0,0,2023-10-01,2024-09-30
5486,L'Isle,VD,237,0.034076,26,2024-09-30,2,13.0,2024-10-21,0.036682,482,2024-10-07,0.278746,80,207,245,0.92201,2024-07-10,5.194,2.8973,5916,3300,2023-09-01,2024-08-31,0.4284,488,105,383,0,0,0,2023-10-01,2024-09-30
5487,Lussery-Villars,VD,235,0.05178,16,2024-09-30,0,,2024-10-21,0.092702,456,2024-08-06,0.146789,16,93,70,0.994444,2024-08-16,3.0467,2.0732,1499,1020,2023-09-01,2024-08-31,0.7215,355,0,355,0,0,0,2023-10-01,2024-09-30
5488,Mauraz,VD,235,0.0,0,2024-09-30,0,,2024-10-21,0.017442,18,2024-09-09,0.238095,5,16,23,0.977778,2024-05-15,2.6765,1.8824,182,128,2023-09-01,2024-08-31,0.2059,14,0,14,0,0,0,2023-10-01,2024-09-30
5489,Mex (VD),VD,236,0.066142,42,2024-09-30,5,8.4,2024-10-21,0.135865,1574,2024-10-07,0.317204,59,127,101,0.963087,2024-06-19,17.105,2.068,14789,1788,2023-09-01,2024-08-31,1.4689,1270,0,1270,0,0,0,2023-10-01,2024-09-30
5490,Moiry,VD,325,0.025773,5,2024-09-30,0,,2024-10-21,0.047489,208,2024-06-03,0.619048,52,32,69,0.854749,2024-10-04,3.6226,2.1109,1052,613,2023-09-01,2024-08-31,0.5923,172,0,172,0,0,0,2023-10-01,2024-09-30
5491,Mont-la-Ville,VD,325,0.055215,18,2024-09-30,0,,2024-10-21,0.054624,365,2024-10-28,0.440217,81,103,179,0.978437,2024-07-10,4.1241,2.9043,2147,1512,2023-09-01,2024-08-31,0.559,291,0,291,0,0,0,2023-10-01,2024-09-30
5492,Montricher,VD,237,0.028909,22,2024-09-30,0,,2024-10-21,0.10461,1425,2024-10-07,0.336996,92,181,209,0.973737,2024-09-30,4.674,2.9185,4646,2901,2023-09-01,2024-08-31,1.1197,1113,0,1113,0,0,0,2023-10-01,2024-09-30
5493,Orny,VD,235,0.029316,9,2024-09-30,1,9.0,2024-10-21,0.054595,319,2024-10-07,0.388889,42,66,119,0.949791,2024-05-22,3.8807,2.2954,2115,1251,2023-09-01,2024-08-31,0.4514,246,0,246,0,0,0,2023-10-01,2024-09-30
