bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
1,Aeugst am Albis,ZH,237,0.084375,108,2024-09-30,0,,2024-10-21,0.098419,1600,2024-10-07,0.68,374,176,362,0.977492,2024-09-26,4.4623,2.9119,8905,5811,2023-09-01,2024-08-31,0.6033,1204,0,1204,0,0,0,2023-10-01,2024-09-30
2,Affoltern am Albis,ZH,112,0.044457,314,2024-09-30,26,12.1,2024-10-21,0.060952,4458,2024-10-07,0.442615,887,1117,897,0.980068,2024-09-26,4.184,1.6492,53420,21056,2023-09-01,2024-08-31,0.306,3907,0,3271,0,637,0,2023-10-01,2024-09-30
3,Bonstetten,ZH,227,0.062902,186,2024-09-30,4,46.5,2024-10-21,0.069819,1813,2024-10-07,0.407604,461,670,436,0.986776,2024-10-21,2.8006,1.7356,15857,9827,2023-09-01,2024-08-31,0.237,1342,0,1342,0,0,0,2023-10-01,2024-09-30
4,Hausen am Albis,ZH,227,0.059941,142,2024-09-30,7,20.3,2024-10-21,0.107664,3266,2024-10-07,0.648746,724,392,689,0.980445,2024-10-24,3.9176,2.3004,15545,9128,2023-09-01,2024-08-31,0.6804,2700,0,2400,0,300,0,2023-10-01,2024-09-30
5,Hedingen,ZH,113,0.066636,143,2024-09-30,0,,2024-10-21,0.1333,3206,2024-10-07,0.496045,439,446,394,0.984604,2024-10-16,5.3155,2.1157,20941,8335,2023-09-01,2024-08-31,0.5985,2358,0,2358,0,0,0,2023-10-01,2024-09-30
6,Kappel am Albis,ZH,237,0.054707,43,2024-09-30,0,,2024-10-21,0.102096,1281,2024-09-09,0.677054,239,114,282,0.963581,2024-10-15,3.8211,2.191,5361,3074,2023-09-01,2024-08-31,0.7063,991,0,991,0,0,0,2023-10-01,2024-09-30
7,Knonau,ZH,227,0.06506,81,2024-09-30,0,,2024-10-21,0.249258,4452,2024-10-07,0.59322,315,216,345,0.99095,2024-09-18,3.0649,1.7989,7471,4385,2023-09-01,2024-08-31,1.3037,3178,0,3178,0,0,0,2023-10-01,2024-09-30
8,Maschwanden,ZH,235,0.054726,22,2024-09-30,0,,2024-10-21,0.109467,858,2024-09-09,0.638298,120,68,176,0.975871,2023-12-21,4.4044,2.9436,2810,1878,2023-09-01,2024-08-31,0.9561,610,0,610,0,0,0,2023-10-01,2024-09-30
9,Mettmenstetten,ZH,226,0.063171,206,2024-09-30,12,17.2,2024-10-21,0.114205,4618,2024-10-07,0.675502,841,404,826,0.993285,2024-10-14,4.3096,2.0281,25451,11977,2023-09-01,2024-08-31,0.5652,3338,0,3338,0,0,0,2023-10-01,2024-09-30
10,Obfelden,ZH,227,0.052721,186,2024-09-30,18,10.3,2024-10-21,0.15174,5010,2024-10-07,0.501122,670,667,682,0.992625,2024-10-13,3.7841,2.1372,22254,12569,2023-09-01,2024-08-31,0.5101,3000,0,2873,0,127,0,2023-10-01,2024-09-30
11,Ottenbach,ZH,226,0.061951,120,2024-09-30,2,60.0,2024-10-21,0.093491,1886,2024-10-07,0.536082,416,360,492,0.974635,2024-10-07,4.6116,2.7608,13879,8309,2023-09-01,2024-08-31,1.1643,3504,0,1422,0,2082,0,2023-10-01,2024-09-30
12,Rifferswil,ZH,236,0.066372,45,2024-09-30,0,,2024-10-21,0.114685,1312,2024-10-07,0.640625,205,115,330,0.958702,2024-08-07,3.9174,2.1954,4552,2551,2023-09-01,2024-08-31,0.8313,966,0,966,0,0,0,2023-10-01,2024-09-30
13,Stallikon,ZH,217,0.063875,151,2024-09-30,1,151.0,2024-10-21,0.053301,1173,2024-10-07,0.40509,382,561,520,0.982539,2024-10-16,3.7693,1.9891,14855,7839,2023-09-01,2024-08-31,0.2017,795,0,795,0,0,0,2023-10-01,2024-09-30
14,Wettswil am Albis,ZH,217,0.080999,266,2024-09-30,2,133.0,2024-10-21,0.097868,2772,2024-10-07,0.348732,385,719,439,0.97844,2024-10-01,3.4721,1.9555,18503,10421,2023-09-01,2024-08-31,0.3802,2026,0,2026,0,0,0,2023-10-01,2024-09-30
22,Benken (ZH),ZH,235,0.038721,23,2024-09-30,1,23.0,2024-10-21,0.040607,444,2024-10-07,0.545788,149,124,210,0.985714,2022-12-31,4.5196,2.3096,3810,1947,2023-09-01,2024-08-31,0.4199,354,0,354,0,0,0,2023-10-01,2024-09-30
23,Berg am Irchel,ZH,227,0.029148,13,2024-09-30,0,,2024-10-21,0.054845,420,2024-07-08,0.666667,160,80,155,0.951807,2023-11-29,4.4146,3.2139,2662,1938,2023-09-01,2024-08-31,0.5489,331,0,331,0,0,0,2023-10-01,2024-09-30
24,Buch am Irchel,ZH,235,0.075071,53,2024-09-30,1,53.0,2024-10-21,0.063762,783,2024-10-07,0.701639,214,91,236,0.923208,2024-07-18,4.3187,2.7297,4615,2917,2023-09-01,2024-08-31,1.706,1823,0,599,0,1224,0,2023-10-01,2024-09-30
25,Dachsen,ZH,226,0.061667,74,2024-09-30,0,,2024-10-21,0.088162,1266,2024-10-07,0.47193,269,301,271,0.975638,2024-03-13,5.2188,2.3898,10255,4696,2023-09-01,2024-08-31,0.4458,876,0,876,0,0,0,2023-10-01,2024-09-30
26,Dorf,ZH,237,0.047525,24,2024-09-30,0,,2024-10-21,0.048655,322,2024-10-07,0.642553,151,84,169,0.973494,2024-06-24,4.5968,2.8349,3397,2095,2023-09-01,2024-08-31,0.3356,248,0,248,0,0,0,2023-10-01,2024-09-30
27,Feuerthalen,ZH,123,0.046821,95,2024-09-30,9,10.6,2024-10-21,0.090578,1965,2024-10-07,0.205257,164,635,438,0.965652,2024-10-07,3.4099,1.6283,13111,6261,2023-09-01,2024-08-31,0.3698,1422,0,1422,0,0,0,2023-10-01,2024-09-30
28,Flaach,ZH,227,0.054945,60,2024-09-30,0,,2024-10-21,0.052897,923,2024-10-07,0.608225,281,181,363,0.971731,2024-06-28,5.6642,3.0239,8519,4548,2023-09-01,2024-08-31,0.4834,727,0,668,0,59,0,2023-10-01,2024-09-30
29,Flurlingen,ZH,123,0.057811,47,2024-09-30,0,,2024-10-21,0.039765,494,2024-04-15,0.256098,105,305,220,0.973725,2024-09-11,4.0139,1.9554,6224,3032,2023-09-01,2024-08-31,0.2341,363,0,363,0,0,0,2023-10-01,2024-09-30
31,Henggart,ZH,226,0.050179,70,2024-09-30,2,35.0,2024-10-21,0.12607,1664,2024-10-07,0.411348,232,332,240,0.984088,2024-03-21,3.9166,2.2021,8875,4990,2023-09-01,2024-08-31,0.5499,1246,0,1246,0,0,0,2023-10-01,2024-09-30
33,Kleinandelfingen,ZH,226,0.032082,53,2024-09-30,2,26.5,2024-10-21,0.061949,1313,2024-09-09,0.508371,334,323,477,0.956155,2024-09-24,5.6452,2.9483,12101,6320,2023-09-01,2024-08-31,0.4684,1004,0,1004,0,0,0,2023-10-01,2024-09-30
34,Laufen-Uhwiesen,ZH,226,0.063078,75,2024-09-30,8,9.4,2024-10-21,0.130432,2044,2024-10-07,0.382353,208,336,299,0.973441,2024-07-09,4.6428,2.7771,8436,5046,2023-09-01,2024-08-31,0.8272,1503,0,1503,0,0,0,2023-10-01,2024-09-30
35,Marthalen,ZH,227,0.033547,47,2024-09-30,0,,2024-10-21,0.055185,1573,2024-09-09,0.523569,311,283,529,0.966437,2024-09-10,6.7164,2.8935,13238,5703,2023-09-01,2024-08-31,0.8747,1724,0,1157,0,567,0,2023-10-01,2024-09-30
37,Ossingen,ZH,237,0.0406,46,2024-09-30,1,46.0,2024-10-21,0.100965,2156,2024-09-09,0.627863,329,195,390,0.974414,2024-08-19,4.2245,2.4613,7370,4294,2023-09-01,2024-08-31,0.9383,1637,0,1637,0,0,0,2023-10-01,2024-09-30
38,Rheinau,ZH,237,0.043426,36,2024-09-30,2,18.0,2024-10-21,0.04922,748,2024-10-07,0.453901,192,231,473,0.951168,2024-09-17,5.8906,3.1293,7428,3946,2023-09-01,2024-08-31,205.4909,259124,258579,544,0,0,0,2023-10-01,2024-09-30
39,Thalheim an der Thur,ZH,236,0.058824,41,2024-09-30,0,,2024-10-21,0.054469,610,2024-09-09,0.72,216,84,252,0.991023,2024-03-20,4.435,2.8193,4466,2839,2023-09-01,2024-08-31,0.4568,460,0,460,0,0,0,2023-10-01,2024-09-30
40,Trüllikon,ZH,235,0.045283,36,2024-09-30,0,,2024-10-21,0.094246,1317,2024-09-09,0.493473,189,194,409,0.98263,2024-09-16,4.8771,2.7242,5199,2904,2023-09-01,2024-08-31,0.9475,1010,0,1010,0,0,0,2023-10-01,2024-09-30
41,Truttikon,ZH,235,0.054131,19,2024-09-30,0,,2024-10-21,0.054554,342,2024-10-07,0.611111,99,63,150,0.981132,2022-12-31,5.0087,2.4619,2299,1130,2023-09-01,2024-08-31,0.573,263,0,263,0,0,0,2023-10-01,2024-09-30
43,Volken,ZH,227,0.019608,5,2024-09-30,0,,2024-10-21,0.043428,189,2024-04-15,0.728814,86,32,105,0.982379,2023-12-14,4.4905,3.0082,1754,1175,2023-09-01,2024-08-31,0.3687,144,0,144,0,0,0,2023-10-01,2024-09-30
51,Bachenbülach,ZH,113,0.067528,183,2024-09-30,22,8.3,2024-10-21,0.089123,2599,2024-10-07,0.47678,308,338,242,0.908905,2024-09-20,5.3019,1.7628,22425,7456,2023-09-01,2024-08-31,0.432,1827,0,1827,0,0,0,2023-10-01,2024-09-30
52,Bassersdorf,ZH,113,0.040323,275,2024-09-30,11,25.0,2024-10-21,0.079817,4371,2024-10-07,0.357737,645,1158,765,0.952522,2024-10-23,3.5929,1.4969,44011,18336,2023-09-01,2024-08-31,0.2647,3242,0,3242,0,0,0,2023-10-01,2024-09-30
53,Bülach,ZH,112,0.0372,456,2024-09-30,10,45.6,2024-10-21,0.074539,7815,2024-10-07,0.352795,852,1563,1027,0.90986,2024-09-27,3.6497,1.3312,92018,33563,2023-09-01,2024-08-31,0.2252,5677,0,5677,0,0,0,2023-10-01,2024-09-30
54,Dietlikon,ZH,112,0.044448,249,2024-09-30,42,5.9,2024-10-21,0.093235,4818,2024-10-07,0.208633,232,880,428,0.925481,2024-10-02,5.265,1.3315,41565,10512,2023-09-01,2024-08-31,0.487,3845,0,3602,0,243,0,2023-10-01,2024-09-30
55,Eglisau,ZH,226,0.066791,215,2024-09-30,0,,2024-10-21,0.090782,3127,2024-10-07,0.518619,571,530,497,0.935597,2024-10-07,3.7617,2.3027,21335,13060,2023-09-01,2024-08-31,0.4223,2395,0,2395,0,0,0,2023-10-01,2024-09-30
56,Embrach,ZH,113,0.049773,296,2024-09-30,10,29.6,2024-10-21,0.074352,4571,2024-10-07,0.428117,673,899,729,0.946135,2024-10-16,3.5318,1.5772,36334,16226,2023-09-01,2024-08-31,0.3196,3288,0,3288,0,0,0,2023-10-01,2024-09-30
57,Freienstein-Teufen,ZH,113,0.057198,89,2024-09-30,2,44.5,2024-10-21,0.068448,1035,2024-10-07,0.555746,324,259,332,0.98176,2024-08-15,4.3844,2.5249,10547,6074,2023-09-01,2024-08-31,1.4267,3432,2621,810,0,0,0,2023-10-01,2024-09-30
58,Glattfelden,ZH,227,0.058892,202,2024-09-30,1,202.0,2024-10-21,0.059302,1722,2024-10-07,0.421805,472,647,773,0.971751,2024-10-18,3.7155,2.2024,19644,11644,2023-09-01,2024-08-31,64.5924,341500,340208,1292,0,0,0,2023-10-01,2024-09-30
59,Hochfelden,ZH,226,0.035034,46,2024-09-30,0,,2024-10-21,0.057625,744,2024-10-07,0.393103,171,264,181,0.92911,2024-03-27,2.9574,1.8528,5968,3739,2023-09-01,2024-08-31,0.2721,549,0,549,0,0,0,2023-10-01,2024-09-30
60,Höri,ZH,113,0.039699,95,2024-09-30,3,31.7,2024-10-21,0.104723,2124,2024-09-09,0.519553,279,258,298,0.966435,2024-09-24,4.695,1.7075,16611,6041,2023-09-01,2024-08-31,0.4322,1529,0,1529,0,0,0,2023-10-01,2024-09-30
61,Hüntwangen,ZH,237,0.053525,41,2024-09-30,0,,2024-10-21,0.089232,958,2024-10-07,0.528926,192,171,237,0.940439,2024-10-11,5.1512,2.5614,5790,2879,2023-09-01,2024-08-31,0.653,734,0,734,0,0,0,2023-10-01,2024-09-30
62,Kloten,ZH,112,0.057927,1087,2024-09-30,86,12.6,2024-10-21,0.030814,4743,2024-10-07,0.23481,514,1675,921,0.95428,2024-10-10,7.1745,1.359,155188,29395,2023-09-01,2024-08-31,0.1501,3247,0,3247,0,0,0,2023-10-01,2024-09-30
63,Lufingen,ZH,227,0.063731,110,2024-09-30,0,,2024-10-21,0.082272,1098,2024-10-07,0.6234,341,206,214,0.993473,2024-08-14,3.121,1.9603,9207,5783,2023-09-01,2024-08-31,0.2824,833,0,833,0,0,0,2023-10-01,2024-09-30
64,Nürensdorf,ZH,227,0.044428,175,2024-09-30,3,58.3,2024-10-21,0.065203,2569,2024-10-07,0.430689,494,653,733,0.972079,2024-04-15,3.3748,2.0716,19407,11913,2023-09-01,2024-08-31,0.3379,1943,0,1943,0,0,0,2023-10-01,2024-09-30
65,Oberembrach,ZH,237,0.036432,29,2024-09-30,0,,2024-10-21,0.076431,943,2024-05-13,0.554307,148,119,288,0.947099,2024-05-23,3.8263,2.5263,4215,2783,2023-09-01,2024-08-31,0.6518,718,0,718,0,0,0,2023-10-01,2024-09-30
66,Opfikon,ZH,112,0.062344,1024,2024-09-30,45,22.8,2024-10-21,0.077011,5931,2024-10-07,0.319632,521,1109,838,0.960685,2024-10-17,5.5951,1.0904,121072,23595,2023-09-01,2024-08-31,0.1912,4138,0,4138,0,0,0,2023-10-01,2024-09-30
67,Rafz,ZH,226,0.050385,157,2024-09-30,2,78.5,2024-10-21,0.094422,3682,2024-10-07,0.625235,664,398,637,0.964793,2024-10-24,4.5407,2.1706,21432,10245,2023-09-01,2024-08-31,0.5852,2762,0,2762,0,0,0,2023-10-01,2024-09-30
68,Rorbas,ZH,113,0.036618,68,2024-09-30,0,,2024-10-21,0.053119,722,2024-10-07,0.428148,289,386,318,0.982196,2024-10-17,3.0567,1.9284,9008,5683,2023-09-01,2024-08-31,0.2759,813,0,517,0,296,0,2023-10-01,2024-09-30
69,Wallisellen,ZH,112,0.082807,930,2024-09-30,54,17.2,2024-10-21,0.075008,6403,2024-10-07,0.223535,473,1643,767,0.958444,2024-10-22,6.9695,1.2888,123963,22924,2023-09-01,2024-08-31,2.8662,50980,119,4686,0,46175,0,2023-10-01,2024-09-30
70,Wasterkingen,ZH,237,0.039216,16,2024-09-30,0,,2024-10-21,0.049651,249,2024-08-06,0.562814,112,87,138,0.991176,2023-05-30,3.9165,3.0086,2364,1816,2023-09-01,2024-08-31,0.3164,191,0,191,0,0,0,2023-10-01,2024-09-30
71,Wil (ZH),ZH,236,0.058491,62,2024-09-30,1,62.0,2024-10-21,0.120429,2144,2024-09-09,0.515593,248,233,374,0.970488,2024-08-14,5.3324,2.3598,8711,3855,2023-09-01,2024-08-31,0.9794,1600,0,1600,0,0,0,2023-10-01,2024-09-30
72,Winkel,ZH,113,0.064759,215,2024-09-30,0,,2024-10-21,0.088361,2437,2024-10-07,0.527907,454,406,424,0.950407,2024-10-24,3.4523,2.2088,17358,11106,2023-09-01,2024-08-31,0.3516,1768,0,1768,0,0,0,2023-10-01,2024-09-30
81,Bachs,ZH,237,0.038136,18,2024-09-30,2,9.0,2024-10-21,0.046045,397,2024-07-08,0.568182,100,76,179,0.849282,2023-12-10,4.9307,2.4142,3274,1603,2023-09-01,2024-08-31,0.4669,310,0,310,0,0,0,2023-10-01,2024-09-30
82,Boppelsen,ZH,235,0.062436,61,2024-09-30,0,,2024-10-21,0.08199,890,2024-09-09,0.460938,177,207,162,0.919192,2024-02-20,4.0681,2.3295,6072,3477,2023-09-01,2024-08-31,0.4683,699,0,699,0,0,0,2023-10-01,2024-09-30
83,Buchs (ZH),ZH,217,0.067121,315,2024-09-30,4,78.8,2024-10-21,0.064844,3145,2024-10-07,0.307775,285,641,491,0.971213,2024-06-30,3.3675,1.3644,22709,9201,2023-09-01,2024-08-31,0.3802,2564,0,2370,0,194,0,2023-10-01,2024-09-30
84,Dällikon,ZH,216,0.036514,124,2024-09-30,4,31.0,2024-10-21,0.087358,3044,2024-10-07,0.380379,221,360,320,0.931748,2024-06-26,7.3562,1.7445,31867,7557,2023-09-01,2024-08-31,1.0806,4681,0,2133,0,2549,0,2023-10-01,2024-09-30
85,Dänikon,ZH,226,0.041096,51,2024-09-30,0,,2024-10-21,0.076129,767,2024-04-15,0.4075,163,237,136,0.969259,2024-10-24,3.8083,1.6244,7085,3022,2023-09-01,2024-08-31,0.3241,603,0,603,0,0,0,2023-10-01,2024-09-30
86,Dielsdorf,ZH,217,0.078982,360,2024-09-30,9,40.0,2024-10-21,0.128808,5882,2024-10-07,0.280947,261,668,387,0.961286,2024-10-23,6.3911,1.8198,39791,11330,2023-09-01,2024-08-31,0.6963,4335,0,4335,0,0,0,2023-10-01,2024-09-30
87,Hüttikon,ZH,226,0.061258,37,2024-09-30,0,,2024-10-21,0.047328,248,2024-09-09,0.542088,161,136,137,0.98861,2023-12-21,3.2472,2.297,3168,2241,2023-09-01,2024-08-31,0.1876,183,0,183,0,0,0,2023-10-01,2024-09-30
88,Neerach,ZH,227,0.056481,139,2024-09-30,0,,2024-10-21,0.059805,1219,2024-09-09,0.422194,331,453,330,0.976337,2024-09-05,3.4364,2.3371,11622,7904,2023-09-01,2024-08-31,0.2844,962,0,962,0,0,0,2023-10-01,2024-09-30
89,Niederglatt,ZH,113,0.032023,110,2024-09-30,0,,2024-10-21,0.078907,2084,2024-10-07,0.366422,299,517,330,0.926435,2024-10-08,4.0198,1.6616,21277,8795,2023-09-01,2024-08-31,0.5447,2883,0,1569,0,1315,0,2023-10-01,2024-09-30
90,Niederhasli,ZH,113,0.044377,262,2024-09-30,10,26.2,2024-10-21,0.116415,6482,2024-10-07,0.302552,498,1148,970,0.951619,2024-08-09,3.4368,1.6097,33040,15475,2023-09-01,2024-08-31,0.5012,4818,0,4818,0,0,0,2023-10-01,2024-09-30
91,Niederweningen,ZH,226,0.067422,131,2024-09-30,2,65.5,2024-10-21,0.146477,2619,2024-10-07,0.603196,453,298,291,0.973832,2024-09-23,4.6154,2.3532,14292,7287,2023-09-01,2024-08-31,0.6443,1995,0,1995,0,0,0,2023-10-01,2024-09-30
92,Oberglatt,ZH,113,0.027832,115,2024-09-30,1,115.0,2024-10-21,0.129768,4460,2024-10-07,0.382679,380,613,529,0.919082,2024-06-17,2.7429,1.3611,21192,10516,2023-09-01,2024-08-31,0.4053,3131,0,3131,0,0,0,2023-10-01,2024-09-30
93,Oberweningen,ZH,227,0.043624,52,2024-09-30,2,26.0,2024-10-21,0.074207,765,2024-09-23,0.366359,159,275,194,0.975155,2024-06-29,2.7431,1.9314,5275,3714,2023-09-01,2024-08-31,0.3011,579,0,579,0,0,0,2023-10-01,2024-09-30
94,Otelfingen,ZH,227,0.038699,94,2024-09-30,1,94.0,2024-10-21,0.081141,3186,2024-10-07,0.398981,235,354,274,0.879715,2024-03-12,6.2622,1.9331,18471,5702,2023-09-01,2024-08-31,5.0739,14966,0,2373,0,12593,0,2023-10-01,2024-09-30
95,Regensberg,ZH,227,0.020408,6,2024-09-30,0,,2024-10-21,0.051641,140,2024-08-06,0.339806,35,68,51,0.944785,2024-04-12,4.431,2.2894,2009,1038,2023-09-01,2024-08-31,0.2139,97,0,97,0,0,0,2023-10-01,2024-09-30
96,Regensdorf,ZH,112,0.040474,499,2024-09-30,25,20.0,2024-10-21,0.072323,8607,2024-10-07,0.29842,661,1554,806,0.886704,2024-10-24,4.044,1.407,76350,26565,2023-09-01,2024-08-31,0.3507,6622,0,6159,0,463,0,2023-10-01,2024-09-30
97,Rümlang,ZH,216,0.031024,210,2024-09-30,15,14.0,2024-10-21,0.092567,6770,2024-10-07,0.357621,427,767,912,0.949504,2024-09-02,6.2684,1.3773,51357,11284,2023-09-01,2024-08-31,0.6031,4941,0,4919,0,22,0,2023-10-01,2024-09-30
98,Schleinikon,ZH,227,0.047138,28,2024-09-30,0,,2024-10-21,0.062306,442,2024-10-07,0.537815,128,110,127,0.894608,2024-04-24,3.1721,2.2136,2952,2060,2023-09-01,2024-08-31,0.3675,342,0,342,0,0,0,2023-10-01,2024-09-30
99,Schöfflisdorf,ZH,227,0.055914,52,2024-09-30,1,52.0,2024-10-21,0.083518,792,2024-10-07,0.395543,142,217,155,0.973485,2024-10-08,3.6796,2.5373,4980,3434,2023-09-01,2024-08-31,0.4603,623,0,623,0,0,0,2023-10-01,2024-09-30
100,Stadel,ZH,227,0.046539,80,2024-09-30,0,,2024-10-21,0.051137,1176,2024-10-07,0.475548,282,311,468,0.970723,2024-10-15,3.578,2.1736,8512,5171,2023-09-01,2024-08-31,0.3754,893,0,893,0,0,0,2023-10-01,2024-09-30
101,Steinmaur,ZH,217,0.046154,105,2024-09-30,6,17.5,2024-10-21,0.123549,3375,2024-10-07,0.478873,340,370,451,0.981403,2024-09-27,3.724,1.9211,13600,7016,2023-09-01,2024-08-31,0.6911,2524,0,2524,0,0,0,2023-10-01,2024-09-30
102,Weiach,ZH,226,0.037293,54,2024-09-30,0,,2024-10-21,0.080338,1207,2024-10-07,0.614213,242,152,241,0.940741,2024-08-15,2.9689,1.8371,6563,4061,2023-09-01,2024-08-31,0.3945,872,0,872,0,0,0,2023-10-01,2024-09-30
111,Bäretswil,ZH,227,0.038356,126,2024-09-30,2,63.0,2024-10-21,0.088367,3603,2024-10-07,0.497671,641,647,1419,0.982221,2024-10-22,4.2394,2.3731,21759,12180,2023-09-01,2024-08-31,0.5629,2889,138,2751,0,0,0,2023-10-01,2024-09-30
112,Bubikon,ZH,216,0.051199,254,2024-09-30,4,63.5,2024-10-21,0.120135,6822,2024-10-07,0.295184,472,1127,1065,0.947368,2024-10-21,5.7679,2.0327,43703,15402,2023-09-01,2024-08-31,0.6836,5180,112,5068,0,0,0,2023-10-01,2024-09-30
113,Dürnten,ZH,137,0.047947,223,2024-09-30,19,11.7,2024-10-21,0.097258,4548,2024-10-07,0.358277,632,1132,970,0.949306,2024-10-24,3.3499,1.8804,26297,14761,2023-09-01,2024-08-31,0.4513,3543,0,3443,0,100,0,2023-10-01,2024-09-30
114,Fischenthal,ZH,326,0.031754,61,2024-09-30,2,30.5,2024-10-21,0.076399,1751,2024-10-07,0.673939,556,269,903,0.979592,2024-09-20,4.3767,2.2598,11636,6008,2023-09-01,2024-08-31,0.4973,1322,0,1322,0,0,0,2023-10-01,2024-09-30
115,Gossau (ZH),ZH,216,0.040996,270,2024-09-30,9,30.0,2024-10-21,0.082185,5253,2024-10-07,0.400645,869,1300,1682,0.972966,2024-10-17,3.2761,1.9297,34048,20055,2023-09-01,2024-08-31,0.4064,4224,0,3975,0,249,0,2023-10-01,2024-09-30
116,Grüningen,ZH,227,0.047415,133,2024-09-30,0,,2024-10-21,0.108445,3001,2024-10-07,0.491422,401,415,645,0.96627,2024-09-13,4.3754,2.0395,17633,8219,2023-09-01,2024-08-31,0.5645,2275,0,2275,0,0,0,2023-10-01,2024-09-30
117,Hinwil,ZH,216,0.04397,346,2024-09-30,22,15.7,2024-10-21,0.081078,9387,2024-10-07,0.39141,966,1502,1630,0.961972,2024-10-24,5.7028,2.0486,67265,24163,2023-09-01,2024-08-31,4.7918,56519,0,7086,0,254,49179,2023-10-01,2024-09-30
118,Rüti (ZH),ZH,136,0.038397,275,2024-09-30,13,21.2,2024-10-21,0.09633,6171,2024-10-07,0.236316,544,1758,1104,0.977612,2024-10-18,4.068,1.4981,52740,19422,2023-09-01,2024-08-31,0.5418,7024,2225,4574,0,225,0,2023-10-01,2024-09-30
119,Seegräben,ZH,227,0.074974,71,2024-09-30,2,35.5,2024-10-21,0.105083,1137,2024-09-09,0.381616,137,222,275,0.924198,2024-10-09,4.5551,2.2977,6429,3243,2023-09-01,2024-08-31,1.4241,2010,1166,844,0,0,0,2023-10-01,2024-09-30
120,Wald (ZH),ZH,217,0.029673,187,2024-09-30,11,17.0,2024-10-21,0.094202,6499,2024-10-07,0.450725,901,1098,1775,0.980769,2024-09-26,4.0474,2.0861,42660,21988,2023-09-01,2024-08-31,0.5403,5695,724,4808,0,163,0,2023-10-01,2024-09-30
121,Wetzikon (ZH),ZH,112,0.039695,572,2024-09-30,23,24.9,2024-10-21,0.1098,14781,2024-10-07,0.272137,922,2466,1938,0.971189,2024-10-19,4.7558,1.6444,126612,43777,2023-09-01,2024-08-31,0.453,12060,1351,10710,0,0,0,2023-10-01,2024-09-30
131,Adliswil,ZH,113,0.048975,454,2024-09-30,37,12.3,2024-10-21,0.068006,4589,2024-10-07,0.194136,437,1814,786,0.949359,2024-10-18,3.1592,1.1822,61541,23030,2023-09-01,2024-08-31,0.1665,3244,0,3244,0,0,0,2023-10-01,2024-09-30
135,Kilchberg (ZH),ZH,113,0.067275,332,2024-09-30,20,16.6,2024-10-21,0.033911,1268,2024-10-07,0.195138,289,1192,591,0.968677,2024-10-23,5.4122,1.6603,51554,15815,2023-09-01,2024-08-31,0.0958,913,0,913,0,0,0,2023-10-01,2024-09-30
136,Langnau am Albis,ZH,113,0.051691,214,2024-09-30,2,107.0,2024-10-21,0.06377,2074,2024-10-07,0.262483,389,1093,728,0.980479,2023-09-25,2.4969,1.406,20751,11685,2023-09-01,2024-08-31,0.2698,2242,750,1492,0,0,0,2023-10-01,2024-09-30
137,Oberrieden,ZH,113,0.049073,135,2024-09-30,0,,2024-10-21,0.061129,1198,2024-10-07,0.304579,286,653,412,0.983261,2024-10-10,2.7357,1.5783,14751,8510,2023-09-01,2024-08-31,0.1558,840,0,840,0,0,0,2023-10-01,2024-09-30
138,Richterswil,ZH,113,0.049538,391,2024-09-30,4,97.8,2024-10-21,0.087778,5321,2024-10-07,0.190495,477,2027,912,0.96036,2024-10-02,3.8294,1.8152,54470,25820,2023-09-01,2024-08-31,0.3649,5190,24,3829,0,1337,0,2023-10-01,2024-09-30
139,Rüschlikon,ZH,112,0.067689,234,2024-09-30,10,23.4,2024-10-21,0.045658,1224,2024-10-07,0.235354,233,757,499,0.949617,2024-10-11,4.4063,1.7171,27802,10834,2023-09-01,2024-08-31,0.1371,865,0,861,0,4,0,2023-10-01,2024-09-30
141,Thalwil,ZH,113,0.061616,553,2024-09-30,23,24.0,2024-10-21,0.083624,5090,2024-10-07,0.21281,515,1905,793,0.966025,2024-09-02,3.3345,1.4361,61999,26702,2023-09-01,2024-08-31,0.2059,3828,0,3554,0,275,0,2023-10-01,2024-09-30
151,Erlenbach (ZH),ZH,113,0.066427,222,2024-09-30,1,222.0,2024-10-21,0.055275,1610,2024-09-09,0.190635,228,968,469,0.958549,2024-09-10,3.8569,1.7539,22015,10011,2023-09-01,2024-08-31,0.206,1176,0,1176,0,0,0,2023-10-01,2024-09-30
152,Herrliberg,ZH,113,0.069311,304,2024-09-30,1,304.0,2024-10-21,0.07785,2947,2024-10-07,0.308123,440,988,711,0.966125,2024-09-27,3.4304,1.806,23766,12512,2023-09-01,2024-08-31,0.3118,2160,0,2160,0,0,0,2023-10-01,2024-09-30
