period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,4.37376,0,4.37376,0,175062,1.25,EKZ Mixstrom Business,15.011255946666667,0,15.011255946666667,0,0,15.011255946666667,0.5,2.3,22.185015946666667
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400 F,9.313333333333333,0,9.313333333333333,36,0,7.2,EKZ Mixstrom ,15.491428571428571,0,15.491428571428571,36,0,14.691428571428572,0.65,2.3,27.754761904761907
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400 F,8.73,0,8.73,36,0,7.2,EKZ Mixstrom,15.75,0,15.75,36,0,15.3,0.65,2.3,27.43
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400 F,9.313333333333333,0,9.313333333333333,36,0,7.2,EKZ Mixstrom ,15.732380952380952,0,15.732380952380952,36,0,14.932380952380953,0.16,2.3,27.505714285714287
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,5.396,0,5.396,0,16110,1.25,EKZ Mixstrom Business,15.1692,0,15.1692,0,0,15.1692,0.16,2.3,23.0252
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,8.21653846153846,0,8.21653846153846,36,0,6.513461538461539,EKZ Mixstrom,15.065934065934066,0,15.065934065934066,36,0,14.78901098901099,0.65,2.3,26.232472527472527
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,7.76,0,7.76,0,7200,1.7,EKZ Mixstrom Business,15.312,0,15.312,0,0,15.312,0.16,2.3,25.532
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400 F,10.38,0,10.38,36,0,7.2,EKZ Mixstrom ,16.364571428571427,0,16.364571428571427,36,0,14.92457142857143,0.16,2.3,29.204571428571427
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H7,Standard,7.703076923076923,0,7.703076923076923,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,26.403076923076924
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H4,Standard,9.446666666666667,0,9.446666666666667,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,28.14666666666667
