operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,39,Thalheim an der Thur,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,40,Trüllikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,40,Trüllikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,41,Truttikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,43,Volken,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,51,Bachenbülach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,51,Bachenbülach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,52,Bassersdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,53,Bülach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,53,Bülach,"Dreikönigstrasse, Zürich",8002,ZH
"Politische Gemeinde Dietlikon, Gemeindewerke",www.dietlikon.ch,54,Dietlikon,"Bahnhofstrasse, Dietlikon",8305,ZH
"Politische Gemeinde Dietlikon, Gemeindewerke",www.dietlikon.ch,54,Dietlikon,"Bahnhofstrasse, Dietlikon",8305,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,55,Eglisau,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,55,Eglisau,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,56,Embrach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,57,Freienstein-Teufen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,57,Freienstein-Teufen,"Dreikönigstrasse, Zürich",8002,ZH
Genossenschaft Licht- und Kraftwerke Glattfelden,www.lkwg.ch,58,Glattfelden,"Dorfstrasse, Glattfelden",8192,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,58,Glattfelden,"Dreikönigstrasse, Zürich",8002,ZH
